round,model,precision,recall,auc,f1,accuracy
1,lr,0.810810810810811,0.87378640776699,0.830953740719589,0.841121495327103,0.779220779220779
1,gbdt,0.791304347826087,0.883495145631068,0.848467542356748,0.834862385321101,0.766233766233766
1,gbdt + lr,0.778761061946903,0.854368932038835,0.817056919855321,0.814814814814815,0.74025974025974
1,gbdt + gbdt,0.830188679245283,0.854368932038835,0.85227489053874,0.842105263157895,0.785714285714286
2,lr,0.738738738738739,0.881720430107527,0.850872554204125,0.803921568627451,0.74025974025974
2,gbdt,0.756756756756757,0.903225806451613,0.823285739467654,0.823529411764706,0.766233766233766
2,gbdt + lr,0.75,0.838709677419355,0.810153358011634,0.791878172588832,0.733766233766234
2,gbdt + gbdt,0.765957446808511,0.774193548387097,0.80521769786709,0.770053475935829,0.720779220779221
3,lr,0.796610169491525,0.895238095238095,0.819825072886297,0.84304932735426,0.772727272727273
3,gbdt,0.830357142857143,0.885714285714286,0.858892128279883,0.857142857142857,0.798701298701299
3,gbdt + lr,0.826530612244898,0.771428571428571,0.782507288629738,0.798029556650246,0.733766233766234
3,gbdt + gbdt,0.85981308411215,0.876190476190476,0.851700680272109,0.867924528301887,0.818181818181818
4,lr,0.811320754716981,0.843137254901961,0.820261437908497,0.826923076923077,0.764705882352941
4,gbdt,0.813084112149533,0.852941176470588,0.832852748942714,0.832535885167464,0.77124183006536
4,gbdt + lr,0.8,0.823529411764706,0.826605151864667,0.811594202898551,0.745098039215686
4,gbdt + gbdt,0.752066115702479,0.892156862745098,0.83679354094579,0.816143497757848,0.73202614379085
5,lr,0.736434108527132,0.979381443298969,0.823637702503682,0.84070796460177,0.764705882352941
5,gbdt,0.75,0.896907216494845,0.81470913107511,0.816901408450704,0.745098039215686
5,gbdt + lr,0.75,0.896907216494845,0.811303387334315,0.816901408450704,0.745098039215686
5,gbdt + gbdt,0.761061946902655,0.88659793814433,0.816089837997054,0.819047619047619,0.751633986928105
