round,model,precision,recall,auc,f1,accuracy
1,lr,0.976923076923077,0.900709219858156,0.998310497196539,0.937269372693727,0.986790986790987
1,gbdt,0.985185185185185,0.943262411347518,0.999405889124058,0.963768115942029,0.992229992229992
1,gbdt + lr,0.985294117647059,0.950354609929078,0.999443021053804,0.967509025270758,0.993006993006993
1,gbdt + gbdt,0.985294117647059,0.950354609929078,0.999121210996002,0.967509025270758,0.993006993006993
2,lr,0.981981981981982,0.858267716535433,0.998092587564485,0.915966386554622,0.984459984459985
2,gbdt,0.96875,0.976377952755906,0.999728482215585,0.972549019607843,0.994560994560995
2,gbdt + lr,0.96875,0.976377952755906,0.999864241107793,0.972549019607843,0.994560994560995
2,gbdt + gbdt,0.976377952755906,0.976377952755906,0.999789573717078,0.976377952755906,0.995337995337995
3,lr,0.992805755395683,0.878980891719745,0.994554985626515,0.932432432432432,0.984459984459985
3,gbdt,0.973333333333333,0.929936305732484,0.992593427653458,0.95114006514658,0.988344988344988
3,gbdt + lr,0.974193548387097,0.961783439490446,0.997886252184206,0.967948717948718,0.992229992229992
3,gbdt + gbdt,0.955414012738854,0.955414012738854,0.998878304492419,0.955414012738854,0.989121989121989
4,lr,1,0.884615384615385,0.997393790306496,0.938775510204082,0.988344988344988
4,gbdt,0.983870967741935,0.938461538461538,0.998650355694435,0.960629921259843,0.992229992229992
4,gbdt + lr,0.976,0.938461538461538,0.998623761717971,0.956862745098039,0.991452991452991
4,gbdt + gbdt,0.983606557377049,0.923076923076923,0.999361744564856,0.952380952380952,0.990675990675991
5,lr,0.978260869565217,0.912162162162162,0.99515340625964,0.944055944055944,0.987567987567988
5,gbdt,0.979452054794521,0.966216216216216,0.998258904207104,0.972789115646258,0.993783993783994
5,gbdt + lr,0.972789115646258,0.966216216216216,0.998801698977292,0.969491525423729,0.993006993006993
5,gbdt + gbdt,0.979310344827586,0.959459459459459,0.998484327171772,0.969283276450512,0.993006993006993
