round,model,precision,recall,auc,f1,accuracy
1,lr,0.931818181818182,0.931818181818182,0.987193362193362,0.931818181818182,0.964705882352941
1,gbdt,0.897959183673469,1,0.990800865800866,0.946236559139785,0.970588235294118
1,gbdt + lr,0.877551020408163,0.977272727272727,0.994949494949495,0.924731182795699,0.958823529411765
1,gbdt + gbdt,0.877551020408163,0.977272727272727,0.991522366522366,0.924731182795699,0.958823529411765
2,lr,0.909090909090909,0.833333333333333,0.985380116959064,0.869565217391304,0.946745562130177
2,gbdt,0.942857142857143,0.916666666666667,0.997911445279866,0.929577464788732,0.970414201183432
2,gbdt + lr,0.944444444444444,0.944444444444444,0.997911445279866,0.944444444444444,0.976331360946746
2,gbdt + gbdt,0.972222222222222,0.972222222222222,0.99812030075188,0.972222222222222,0.988165680473373
3,lr,0.928571428571429,0.764705882352941,0.984095860566449,0.838709677419355,0.940828402366864
3,gbdt,0.933333333333333,0.823529411764706,0.985838779956427,0.875,0.952662721893491
3,gbdt + lr,0.903225806451613,0.823529411764706,0.990631808278867,0.861538461538462,0.946745562130177
3,gbdt + gbdt,0.903225806451613,0.823529411764706,0.985185185185185,0.861538461538462,0.946745562130177
4,lr,0.945945945945946,0.921052631578947,0.990960224989956,0.933333333333333,0.970414201183432
4,gbdt,0.85,0.894736842105263,0.99136199276818,0.871794871794872,0.940828402366864
4,gbdt + lr,0.891891891891892,0.868421052631579,0.993772599437525,0.88,0.946745562130177
4,gbdt + gbdt,0.921052631578947,0.921052631578947,0.992567296102853,0.921052631578947,0.964497041420118
5,lr,0.86,0.914893617021277,0.979944192535752,0.88659793814433,0.93491124260355
5,gbdt,0.897959183673469,0.936170212765957,0.990059295430764,0.916666666666667,0.952662721893491
5,gbdt + lr,0.897959183673469,0.936170212765957,0.985873735612138,0.916666666666667,0.952662721893491
5,gbdt + gbdt,0.88,0.936170212765957,0.983955354028601,0.907216494845361,0.946745562130177
