round,model,precision,recall,auc,f1,accuracy
1,lr,0.842105263157895,0.842105263157895,0.922196796338673,0.842105263157895,0.857142857142857
1,gbdt,0.894736842105263,0.894736842105263,0.979405034324943,0.894736842105263,0.904761904761905
1,gbdt + lr,0.894736842105263,0.894736842105263,0.97025171624714,0.894736842105263,0.904761904761905
1,gbdt + gbdt,0.894736842105263,0.894736842105263,0.940503432494279,0.894736842105263,0.904761904761905
2,lr,0.857142857142857,0.521739130434783,0.65675057208238,0.648648648648649,0.69047619047619
2,gbdt,0.866666666666667,0.565217391304348,0.780320366132723,0.684210526315789,0.714285714285714
2,gbdt + lr,0.866666666666667,0.565217391304348,0.782608695652174,0.684210526315789,0.714285714285714
2,gbdt + gbdt,0.722222222222222,0.565217391304348,0.77116704805492,0.634146341463415,0.642857142857143
3,lr,0.681818181818182,0.833333333333333,0.865740740740741,0.75,0.761904761904762
3,gbdt,0.722222222222222,0.722222222222222,0.905092592592593,0.722222222222222,0.761904761904762
3,gbdt + lr,0.666666666666667,0.666666666666667,0.858796296296296,0.666666666666667,0.714285714285714
3,gbdt + gbdt,0.7,0.777777777777778,0.875,0.736842105263158,0.761904761904762
4,lr,0.708333333333333,0.894736842105263,0.875598086124402,0.790697674418605,0.780487804878049
4,gbdt,0.842105263157895,0.842105263157895,0.940191387559809,0.842105263157895,0.853658536585366
4,gbdt + lr,0.68,0.894736842105263,0.866028708133971,0.772727272727273,0.75609756097561
4,gbdt + gbdt,0.714285714285714,0.789473684210526,0.87799043062201,0.75,0.75609756097561
5,lr,0.866666666666667,0.722222222222222,0.871980676328502,0.787878787878788,0.829268292682927
5,gbdt,0.714285714285714,0.555555555555556,0.828502415458937,0.625,0.707317073170732
5,gbdt + lr,0.714285714285714,0.555555555555556,0.833333333333333,0.625,0.707317073170732
5,gbdt + gbdt,0.785714285714286,0.611111111111111,0.780193236714976,0.6875,0.75609756097561
