round,model,precision,recall,auc,f1,accuracy
1,lr,0.833333333333333,0.588235294117647,0.976600584985375,0.689655172413793,0.954545454545455
1,gbdt,0.882352941176471,0.882352941176471,0.996100097497563,0.882352941176471,0.97979797979798
1,gbdt + lr,0.833333333333333,0.882352941176471,0.997400064998375,0.857142857142857,0.974747474747475
1,gbdt + gbdt,0.833333333333333,0.882352941176471,0.99480012999675,0.857142857142857,0.974747474747475
2,lr,1,0.375,0.965659340659341,0.545454545454545,0.94949494949495
2,gbdt,1,0.9375,0.998282967032967,0.967741935483871,0.994949494949495
2,gbdt + lr,1,0.9375,0.997596153846154,0.967741935483871,0.994949494949495
2,gbdt + gbdt,1,0.9375,0.995535714285714,0.967741935483871,0.994949494949495
3,lr,0.666666666666667,0.375,0.955700549450549,0.48,0.934343434343434
3,gbdt,0.9375,0.9375,0.997252747252747,0.9375,0.98989898989899
3,gbdt + lr,0.941176470588235,1,0.999656593406593,0.96969696969697,0.994949494949495
3,gbdt + gbdt,0.764705882352941,0.8125,0.993818681318681,0.787878787878788,0.964646464646465
4,lr,0.833333333333333,0.416666666666667,0.960727969348659,0.555555555555556,0.919191919191919
4,gbdt,1,0.791666666666667,0.994492337164751,0.883720930232558,0.974747474747475
4,gbdt + lr,1,0.875,0.996408045977011,0.933333333333333,0.984848484848485
4,gbdt + gbdt,1,0.791666666666667,0.997365900383142,0.883720930232558,0.974747474747475
5,lr,0.75,0.529411764705882,0.970750731231719,0.620689655172414,0.944444444444444
5,gbdt,1,0.529411764705882,0.996100097497563,0.692307692307692,0.95959595959596
5,gbdt + lr,1,0.764705882352941,0.996750081247969,0.866666666666667,0.97979797979798
5,gbdt + gbdt,0.916666666666667,0.647058823529412,0.995775105622359,0.758620689655172,0.964646464646465
